축제명,축제 유형,개최 장소,,개최기간,,,,,,,공연 날짜,방문객수
,,지역,,시작일,,,종료일,,,"총
일수",,전체
,,시군구,읍면동,년,월,일,년,월,일,,,
장미축제,자연생태,원주시,단계동,2025,6,4,2025,6,8,5,,"48,102"
섬강축제,주민화합,원주시,지정면,2025,10,18,2025,10,19,2,,"10,000"
혁신도시 상생마켓,주민화합,원주시,반곡관설동,2025,5,17,2025,5,18,2,,"12,000"
혁신페스타,주민화합,원주시,반곡관설동,2025,9,18,2025,9,20,3,,"12,000"
2026 원주라면축제,주민화합,원주시,우산동,2025,9,19,2025,9,21,3,,"20,000"
2026 원주만두축제,지역특산물,원주시,중앙동,2025,10,24,2025,10,26,3,"24, 25, 26","410,000"
원주문화의거리 치맥축제,주민화합,원주시,중앙동,2025,9,3,2025,9,6,4,,"55,000"
제12회 치악산한우 축제,지역특산물,원주시,명륜동,2025,6,13,2025,6,15,3,"13, 14, 15","5,000"
제32회 국제걷기대회,문화예술,원주시,명륜동,2025,10,24,2025,10,25,2,,"10,622"
제63회 농업인의 날 삼토 페스티벌,전통역사,원주시,명륜1동,2025,11,8,2025,11,11,4,"8, 9, 10, 11","50,000"
경포 벚꽃 축제,자연생태,강릉시,경포동,2025,4,4,2025,4,9,6,,"275,000"
솔올블라썸,자연생태,강릉시,교동,2025,4,4,2025,4,6,3,,"50,000"
남산 벚꽃 축제,자연생태,강릉시,강남동,2025,3,29,2025,3,31,3,,"15,711"
강릉 차문화 축제,문화예술,강릉시,경포동,2025,5,23,2025,5,25,3,,"32,317"
강릉단오제,전통역사,강릉시,"강남동,중앙동",2025,5,27,2025,6,3,8,,"956,000"
강릉 비치비어 페스티벌,문화예술,강릉시,경포동,2025,6,27,2025,6,29,3,,"63,000"
경포 썸머 페스티벌,문화예술,강릉시,경포동,2025,7,29,2025,8,4,7,"31, 1, 2, 3","81,266"
강릉 국가유산야행,전통역사,강릉시,중앙동,2025,8,14,2025,8,16,3,,"159,620"
강릉 누들 축제,지역특산물,강릉시,중앙동,2025,10,30,2025,11,2,4,,"190,155"
제18회 강릉커피축제,주민화합,강릉시,송정동,2025,10,30,2025,11,2,4,,"520,000"
