festival_name,dong_name,lat,lng,address,matched
제29회 홍천찰옥수수축제,홍천읍,37.68943404802,127.884306327398,강원특별자치도 홍천군 홍천읍,강원특별자치도 홍천군 홍천읍
제9회 홍천강 별빛음악 맥주축제,홍천읍,37.68943404802,127.884306327398,강원특별자치도 홍천군 홍천읍,강원특별자치도 홍천군 홍천읍
제23회 홍천 인삼한우 명품축제,홍천읍,37.68943404802,127.884306327398,강원특별자치도 홍천군 홍천읍,강원특별자치도 홍천군 홍천읍
제10회 홍천사과축제,홍천읍,37.68943404802,127.884306327398,강원특별자치도 홍천군 홍천읍,강원특별자치도 홍천군 홍천읍
제21회 횡성한우축제,횡성읍,37.4923616641075,127.992604693778,강원특별자치도 횡성군 횡성읍,강원특별자치도 횡성군 횡성읍
제14회 둔내고랭지토마토축제,둔내면,37.5122165122342,128.218832889124,강원특별자치도 횡성군 둔내면,강원특별자치도 횡성군 둔내면
제12회 횡성더덕축제,청일면,37.5837464013969,128.150414957403,강원특별자치도 횡성군 청일면,강원특별자치도 횡성군 청일면
제17회 안흥찐빵축제,안흥면,37.4125128396148,128.156049802743,강원특별자치도 횡성군 안흥면,강원특별자치도 횡성군 안흥면
제6회 횡성호수길축제,갑천면,37.5609554668992,128.11019928627,강원특별자치도 횡성군 갑천면,강원특별자치도 횡성군 갑천면
제3회 소(牛)맥 프리미엄 페스티벌,공근면,37.5364543513987,127.961772076306,강원특별자치도 횡성군 공근면,강원특별자치도 횡성군 공근면
제4회 태종노구문화제,강림면,37.3602310480308,128.125412513164,강원특별자치도 횡성군 강림면,강원특별자치도 횡성군 강림면
2025년 평창더위사냥축제,대화면,37.5009465792778,128.458050807458,강원특별자치도 평창군 대화면,강원특별자치도 평창군 대화면
2025년 평창효석문화제,봉평면,37.6161929793163,128.379492494281,강원특별자치도 평창군 봉평면,강원특별자치도 평창군 봉평면
2025년 평창농악축제,용평면,37.6066960645327,128.440214137176,강원특별자치도 평창군 용평면,강원특별자치도 평창군 용평면
2025년 평창백일홍축제,평창읍,37.3677151528904,128.400549022928,강원특별자치도 평창군 평창읍,강원특별자치도 평창군 평창읍
2025년 대관령눈꽃축제,대관령면,37.6736318231798,128.706141784901,강원특별자치도 평창군 대관령면,강원특별자치도 평창군 대관령면
정선동강할미꽃축제,정선읍,37.3797685014938,128.661694256573,강원특별자치도 정선군 정선읍,강원특별자치도 정선군 정선읍
로컬푸드축제,북평면,37.4488891078994,128.670490518986,강원특별자치도 정선군 북평면,강원특별자치도 정선군 북평면
두위봉철쭉축제,신동읍,37.2182019484655,128.671426990821,강원특별자치도 정선군 신동읍,강원특별자치도 정선군 신동읍
정선 함백산 야생화축제,고한읍,37.2042701836793,128.851646873504,강원특별자치도 정선군 고한읍,강원특별자치도 정선군 고한읍
아우라지 뗏목축제,여량면,37.4706040304876,128.720500019347,강원특별자치도 정선군 여량면,강원특별자치도 정선군 여량면
사북석탄문화제,사북읍,37.2277245267372,128.821814063945,강원특별자치도 정선군 사북읍,강원특별자치도 정선군 사북읍
벚꽃축제,북평면,37.4488891078994,128.670490518986,강원특별자치도 정선군 북평면,강원특별자치도 정선군 북평면
제50회 정선아리랑제,정선읍,37.3797685014938,128.661694256573,강원특별자치도 정선군 정선읍,강원특별자치도 정선군 정선읍
제21회 화천토마토축제,사내면,38.0701588123932,127.523433810035,강원특별자치도 화천군 사내면,강원특별자치도 화천군 사내면
2025 청춘양구 곰취축제,양구읍,38.1080405251365,127.990430398263,강원특별자치도 양구군 양구읍,강원특별자치도 양구군 양구읍
