datetime,hour,STN,TA,RN,SD_TOT
2023-08-23,2,131,27.1,0.0,
2023-08-23,3,131,27.5,0.0,
2023-08-23,4,131,27.3,0.0,
2023-08-23,5,131,27.0,0.0,
2023-08-23,6,131,27.2,0.0,
2023-08-23,7,131,27.3,0.0,
2023-08-23,8,131,28.0,0.0,
2023-08-23,9,131,29.0,0.0,
2023-08-23,10,131,30.2,0.0,
2023-08-23,11,131,30.8,0.0,
2023-08-23,12,131,31.3,0.0,
2023-08-23,13,131,29.6,10.1,
2023-08-23,14,131,30.8,0.0,
2023-08-23,15,131,28.8,0.2,
2023-08-23,16,131,28.2,3.4,
2023-08-23,17,131,26.5,0.0,
2023-08-23,18,131,25.8,0.8,
2023-08-23,19,131,25.5,1.9,
2023-08-23,20,131,25.3,1.9,
2023-08-23,21,131,25.3,2.7,
2023-08-23,22,131,25.7,1.9,
2023-08-23,23,131,25.3,0.1,
2023-08-24,0,131,25.3,3.7,
2023-08-24,1,131,24.7,14.8,
2023-08-24,2,131,24.7,6.3,
2023-08-24,3,131,24.7,0.0,
2023-08-24,4,131,24.6,0.0,
2023-08-24,5,131,24.7,0.0,
2023-08-24,6,131,24.3,1.4,
2023-08-24,7,131,24.1,3.4,
2023-08-24,8,131,24.3,1.9,
2023-08-24,9,131,25.2,0.0,
2023-08-24,10,131,26.1,0.0,
2023-08-24,11,131,28.2,0.0,
2023-08-24,12,131,28.6,0.0,
2023-08-24,13,131,28.6,0.0,
2023-08-24,14,131,28.4,1.2,
2023-08-24,15,131,27.7,14.3,
2023-08-24,16,131,27.6,0.0,
2023-08-24,17,131,27.5,0.0,
2023-08-24,18,131,27.0,0.0,
2023-08-24,19,131,26.6,0.2,
2023-08-24,20,131,26.5,3.6,
2023-08-24,21,131,26.2,0.3,
2023-08-24,22,131,26.2,0.0,
2023-08-24,23,131,25.7,0.0,
2023-08-25,0,131,25.7,0.0,
2023-08-25,1,131,25.3,0.0,
2023-08-25,2,131,25.1,0.0,
2023-08-25,3,131,24.5,0.0,
2023-08-25,4,131,24.3,0.0,
2023-08-25,5,131,24.3,0.0,
2023-08-25,6,131,24.2,0.0,
2023-08-25,7,131,24.5,0.0,
2023-08-25,8,131,25.5,0.0,
2023-08-25,9,131,26.6,0.0,
2023-08-25,10,131,28.1,0.0,
2023-08-25,11,131,28.6,0.0,
2023-08-25,12,131,30.1,0.0,
2023-08-25,13,131,30.3,0.0,
2023-08-25,14,131,31.0,0.0,
2023-08-25,15,131,30.7,0.0,
2023-08-25,16,131,30.6,0.0,
2023-08-25,17,131,30.7,0.0,
2023-08-25,18,131,29.3,0.0,
2023-08-25,19,131,28.3,0.0,
2023-08-25,20,131,27.5,0.0,
2023-08-25,21,131,26.7,0.0,
2023-08-25,22,131,26.2,0.0,
2023-08-25,23,131,25.9,0.0,
2023-08-26,0,131,25.1,0.0,
2023-08-26,1,131,24.3,0.0,
2023-08-26,2,131,23.9,0.0,
2023-08-26,3,131,23.5,0.0,
2023-08-26,4,131,23.2,0.0,
2023-08-26,5,131,23.5,0.0,
2023-08-26,6,131,22.6,0.0,
2023-08-26,7,131,22.3,0.0,
2023-08-26,8,131,23.6,0.0,
2023-08-26,9,131,24.1,0.0,
2023-08-26,10,131,26.3,0.0,
2023-08-26,11,131,27.8,0.0,
2023-08-26,12,131,28.0,0.0,
2023-08-26,13,131,29.0,0.0,
2023-08-26,14,131,29.3,0.0,
2023-08-26,15,131,30.3,0.0,
2023-08-26,16,131,30.4,0.0,
2023-08-26,17,131,30.7,0.0,
2023-08-26,18,131,29.6,0.0,
2023-08-26,19,131,28.2,0.0,
2023-08-26,20,131,27.2,0.0,
2023-08-26,21,131,27.1,0.0,
2023-08-26,22,131,26.3,0.0,
2023-08-26,23,131,26.0,0.0,
2023-08-27,0,131,25.1,0.0,
2023-08-27,1,131,24.7,0.0,
2023-08-27,2,131,24.0,0.0,
2023-08-27,3,131,23.8,0.0,
2023-08-27,4,131,23.6,0.0,
2023-08-27,5,131,22.7,0.0,
2023-08-27,6,131,22.7,0.0,
2023-08-27,7,131,23.2,0.0,
2023-08-27,8,131,24.6,0.0,
2023-08-27,9,131,25.8,0.0,
2023-08-27,10,131,27.7,0.0,
2023-08-27,11,131,29.4,0.0,
2023-08-27,12,131,30.5,0.0,
2023-08-27,13,131,30.7,0.0,
2023-08-27,14,131,30.6,0.0,
2023-08-27,15,131,30.3,0.0,
2023-08-27,16,131,30.6,0.0,
2023-08-27,17,131,29.0,0.0,
2023-08-27,18,131,28.7,0.0,
2023-08-27,19,131,28.3,0.0,
2023-08-27,20,131,27.9,0.0,
2023-08-27,21,131,28.0,0.0,
2023-08-27,22,131,27.1,0.0,
2023-08-27,23,131,27.2,0.0,
2023-08-28,0,131,27.0,0.0,
2023-08-28,1,131,26.7,0.0,
2023-08-28,2,131,26.5,0.0,
2023-08-28,3,131,26.3,0.0,
2023-08-28,4,131,26.1,0.0,
